date,usd_php_rate,crawled_at,quote_time,note
2016/01/04,47.1200,,,
2016/01/05,46.9100,,,
2016/01/06,47.0250,,,
2016/01/07,47.1100,,,
2016/01/08,47.1700,,,
2016/01/11,47.1700,,,
2016/01/12,47.4400,,,
2016/01/13,47.5200,,,
2016/01/14,47.7800,,,
2016/01/15,47.7400,,,
2016/01/18,47.7500,,,
2016/01/19,47.6000,,,
2016/01/20,47.9500,,,
2016/01/21,47.9000,,,
2016/01/22,47.7250,,,
2016/01/25,47.8800,,,
2016/01/26,47.9950,,,
2016/01/27,47.9200,,,
2016/01/28,47.7700,,,
2016/01/29,47.7400,,,
2016/01/30,47.7400,,,
2016/02/01,47.6900,,,
2016/02/02,47.7900,,,
2016/02/03,47.8900,,,
2016/02/04,47.6800,,,
2016/02/05,47.5100,,,
2016/02/15,47.4500,,,
2016/02/16,47.4900,,,
2016/02/17,47.6200,,,
2016/02/18,47.6100,,,
2016/02/19,47.6650,,,
2016/02/22,47.5700,,,
2016/02/23,47.6350,,,
2016/02/24,47.6400,,,
2016/02/25,47.6370,,,
2016/02/26,47.6370,,,
2016/03/01,47.3620,,,
2016/03/02,47.3620,,,
2016/03/03,47.0800,,,
2016/03/04,46.9300,,,
2016/03/07,46.9100,,,
2016/03/08,46.9140,,,
2016/03/09,46.8600,,,
2016/03/10,46.7000,,,
2016/03/11,46.6200,,,
2016/03/14,46.6150,,,
2016/03/15,46.7800,,,
2016/03/16,46.7750,,,
2016/03/17,46.3800,,,
2016/03/18,46.3300,,,
2016/03/21,46.4000,,,
2016/03/22,46.2950,,,
2016/03/23,46.3600,,,
2016/03/24,46.4050,,,
2016/03/25,46.4050,,,
2016/03/28,46.3500,,,
2016/03/29,46.3700,,,
2016/03/30,46.0300,,,
2016/03/31,46.0300,,,
2016/04/01,46.1000,,,
2016/04/06,46.2000,,,
2016/04/07,46.1000,,,
2016/04/08,46.1400,,,
2016/04/11,46.1300,,,
2016/04/12,46.0600,,,
2016/04/13,46.0900,,,
2016/04/14,46.2300,,,
2016/04/15,46.0600,,,
2016/04/18,46.1500,,,
2016/04/19,46.1530,,,
2016/04/20,46.1600,,,
2016/04/21,46.4400,,,
2016/04/22,46.6500,,,
2016/04/25,46.8500,,,
2016/04/26,46.8300,,,
2016/04/27,46.7600,,,
2016/04/28,46.8400,,,
2016/04/29,46.8400,,,
2016/05/03,46.9400,,,
2016/05/04,47.0800,,,
2016/05/05,47.2600,,,
2016/05/06,47.1700,,,
2016/05/09,47.1700,,,
2016/05/10,46.7200,,,
2016/05/11,46.4900,,,
2016/05/12,46.6100,,,
2016/05/13,46.5900,,,
2016/05/16,46.4500,,,
2016/05/17,46.4300,,,
2016/05/18,46.6700,,,
2016/05/19,46.7900,,,
2016/05/20,46.7800,,,
2016/05/23,46.7900,,,
2016/05/24,46.8800,,,
2016/05/25,46.8000,,,
2016/05/26,46.6800,,,
2016/05/27,46.6600,,,
2016/05/30,46.7300,,,
2016/05/31,46.7300,,,
2016/06/01,46.6200,,,
2016/06/02,46.5800,,,
2016/06/03,46.4600,,,
2016/06/04,46.4600,,,
2016/06/06,46.2500,,,
2016/06/07,46.1000,,,
2016/06/08,46.1200,,,
2016/06/13,46.0800,,,
2016/06/14,46.3200,,,
2016/06/15,46.3400,,,
2016/06/16,46.4300,,,
2016/06/17,46.4500,,,
2016/06/20,46.2600,,,
2016/06/21,46.2900,,,
2016/06/22,46.5700,,,
2016/06/23,46.4900,,,
2016/06/24,46.9500,,,
2016/06/27,47.1500,,,
2016/06/28,47.0100,,,
2016/06/29,47.0200,,,
2016/06/30,47.0200,,,
2016/07/01,46.9400,,,
2016/07/04,46.8600,,,
2016/07/05,47.0700,,,
2016/07/06,47.0700,,,
2016/07/07,47.0500,,,
2016/07/11,47.3100,,,
2016/07/12,47.3700,,,
2016/07/13,47.1800,,,
2016/07/14,47.0500,,,
2016/07/15,46.7400,,,
2016/07/18,46.7200,,,
2016/07/19,46.9200,,,
2016/07/20,47.1200,,,
2016/07/21,47.1300,,,
2016/07/22,47.1000,,,
2016/07/25,47.1600,,,
2016/07/26,47.1600,,,
2016/07/27,47.2100,,,
2016/07/28,47.0900,,,
2016/07/29,47.0900,,,
2016/08/01,46.9300,,,
2016/08/02,47.0200,,,
2016/08/03,47.0300,,,
2016/08/04,47.0500,,,
2016/08/05,47.0600,,,
2016/08/08,46.9100,,,
2016/08/09,46.8800,,,
2016/08/10,46.8810,,,
2016/08/11,46.7900,,,
2016/08/12,46.6900,,,
2016/08/15,46.6300,,,
2016/08/16,46.2300,,,
2016/08/17,46.4500,,,
2016/08/18,46.2800,,,
2016/08/19,46.4200,,,
2016/08/22,46.2800,,,
2016/08/23,46.4800,,,
2016/08/24,46.5100,,,
2016/08/25,46.3600,,,
2016/08/26,46.3630,,,
2016/08/29,46.3630,,,
2016/08/30,46.4500,,,
2016/08/31,46.4500,,,
2016/09/01,46.7500,,,
2016/09/02,46.6900,,,
2016/09/05,46.5000,,,
2016/09/06,46.5900,,,
2016/09/07,46.6800,,,
2016/09/08,46.8300,,,
2016/09/09,47.2100,,,
2016/09/10,47.2100,,,
2016/09/12,47.2100,,,
2016/09/13,47.6300,,,
2016/09/14,47.8400,,,
2016/09/19,47.8800,,,
2016/09/20,47.8000,,,
2016/09/21,47.8700,,,
2016/09/22,47.8100,,,
2016/09/23,47.9900,,,
2016/09/26,48.2500,,,
2016/09/29,48.3100,,,
2016/09/30,48.3100,,,
2016/10/03,48.1600,,,
2016/10/04,48.2600,,,
2016/10/05,48.2800,,,
2016/10/06,48.2800,,,
2016/10/07,48.2500,,,
2016/10/11,48.6900,,,
2016/10/12,48.5800,,,
2016/10/13,48.1800,,,
2016/10/14,48.1500,,,
2016/10/17,48.1800,,,
2016/10/18,48.3900,,,
2016/10/19,48.2800,,,
2016/10/20,48.0800,,,
2016/10/21,48.3000,,,
2016/10/24,48.2600,,,
2016/10/25,48.2400,,,
2016/10/26,48.3500,,,
2016/10/27,48.4900,,,
2016/10/28,48.4900,,,
2016/10/31,48.4900,,,
2016/11/01,48.4900,,,
2016/11/02,48.3500,,,
2016/11/03,48.3700,,,
2016/11/04,48.4500,,,
2016/11/07,48.6400,,,
2016/11/08,48.6700,,,
2016/11/09,48.7100,,,
2016/11/10,48.7200,,,
2016/11/11,49.0400,,,
2016/11/14,49.2000,,,
2016/11/15,49.0700,,,
2016/11/16,49.3700,,,
2016/11/17,49.4950,,,
2016/11/18,49.7400,,,
2016/11/21,49.8200,,,
2016/11/22,49.8900,,,
2016/11/23,49.8600,,,
2016/11/24,49.9400,,,
2016/11/25,49.8000,,,
2016/11/28,49.7700,,,
2016/11/29,49.7900,,,
2016/11/30,49.7900,,,
2016/12/01,49.7000,,,
2016/12/02,49.6100,,,
2016/12/05,49.6500,,,
2016/12/06,49.6470,,,
2016/12/07,49.6730,,,
2016/12/08,49.6880,,,
2016/12/09,49.7600,,,
2016/12/12,49.8800,,,
2016/12/13,49.8000,,,
2016/12/14,49.8020,,,
2016/12/15,49.9600,,,
2016/12/16,49.9300,,,
2016/12/19,50.0300,,,
2016/12/20,50.0330,,,
2016/12/21,49.9500,,,
2016/12/22,49.9700,,,
2016/12/23,49.7100,,,
2016/12/26,49.7100,,,
2016/12/27,49.7640,,,
2016/12/28,49.8000,,,
2016/12/29,49.7300,,,
2016/12/30,49.7300,,,
2017/01/03,49.7600,,,
2017/01/04,49.7100,,,
2017/01/05,49.5200,,,
2017/01/06,49.4700,,,
2017/01/09,49.5900,,,
2017/01/10,49.5000,,,
2017/01/11,49.5800,,,
2017/01/12,49.4800,,,
2017/01/13,49.6900,,,
2017/01/16,50.0200,,,
2017/01/17,49.7300,,,
2017/01/18,49.8400,,,
2017/01/19,49.9700,,,
2017/01/20,49.9800,,,
2017/01/23,49.9500,,,
2017/01/24,49.8200,,,
2017/01/25,49.8300,,,
2017/01/26,49.8300,,,
2017/02/02,49.6800,,,
2017/02/03,49.8000,,,
2017/02/06,49.5500,,,
2017/02/07,49.7700,,,
2017/02/08,49.8700,,,
2017/02/09,49.9100,,,
2017/02/10,49.9200,,,
2017/02/13,49.9300,,,
2017/02/14,49.9400,,,
2017/02/15,49.9500,,,
2017/02/16,49.9500,,,
2017/02/17,50.0500,,,
2017/02/18,50.0500,,,
2017/02/20,50.3500,,,
2017/02/21,50.3000,,,
2017/02/22,50.2500,,,
2017/02/23,50.2100,,,
2017/02/24,50.2100,,,
2017/03/01,50.3000,,,
2017/03/02,50.3700,,,
2017/03/03,50.3800,,,
2017/03/06,50.3100,,,
2017/03/07,50.3200,,,
2017/03/08,50.3500,,,
2017/03/09,50.3800,,,
2017/03/10,50.2700,,,
2017/03/13,50.3200,,,
2017/03/14,50.3400,,,
2017/03/15,50.3300,,,
2017/03/16,50.1800,,,
2017/03/17,50.1700,,,
2017/03/20,50.1300,,,
2017/03/21,50.1600,,,
2017/03/22,50.3300,,,
2017/03/23,50.4200,,,
2017/03/24,50.2500,,,
2017/03/27,50.0900,,,
2017/03/28,50.1400,,,
2017/03/29,50.1500,,,
2017/03/30,50.1600,,,
2017/03/31,50.1600,,,
2017/04/05,50.1700,,,
2017/04/06,50.1600,,,
2017/04/07,49.8900,,,
2017/04/10,49.6300,,,
2017/04/11,49.5900,,,
2017/04/12,49.4800,,,
2017/04/13,49.4800,,,
2017/04/14,49.4800,,,
2017/04/17,49.5800,,,
2017/04/18,49.6600,,,
2017/04/19,49.7700,,,
2017/04/20,49.7800,,,
2017/04/21,49.7900,,,
2017/04/24,49.7800,,,
2017/04/25,49.7000,,,
2017/04/26,49.7400,,,
2017/04/27,50.1300,,,
2017/04/28,50.1300,,,
2017/05/02,50.0300,,,
2017/05/03,49.9800,,,
2017/05/04,49.8800,,,
2017/05/05,49.9400,,,
2017/05/08,49.8800,,,
2017/05/09,49.9500,,,
2017/05/10,49.9600,,,
2017/05/11,49.8700,,,
2017/05/12,49.7600,,,
2017/05/15,49.6800,,,
2017/05/16,49.7200,,,
2017/05/17,49.7800,,,
2017/05/18,49.8500,,,
2017/05/19,49.8100,,,
2017/05/22,49.7500,,,
2017/05/23,49.8200,,,
2017/05/24,49.9500,,,
2017/05/25,49.8500,,,
2017/05/26,49.7700,,,
2017/05/31,49.7800,,,
2017/06/01,49.7400,,,
2017/06/02,49.5100,,,
2017/06/03,49.5100,,,
2017/06/05,49.4000,,,
2017/06/06,49.5200,,,
2017/06/07,49.4900,,,
2017/06/08,49.5200,,,
2017/06/09,49.5200,,,
2017/06/12,49.5200,,,
2017/06/13,49.5500,,,
2017/06/14,49.5000,,,
2017/06/15,49.7200,,,
2017/06/16,49.9300,,,
2017/06/19,49.9320,,,
2017/06/20,50.1500,,,
2017/06/21,50.3700,,,
2017/06/22,50.3670,,,
2017/06/23,50.2800,,,
2017/06/26,50.2800,,,
2017/06/27,50.2600,,,
2017/06/28,50.5500,,,
2017/06/29,50.5400,,,
2017/06/30,50.5400,,,
2017/07/03,50.6500,,,
2017/07/04,50.4900,,,
2017/07/05,50.6500,,,
2017/07/06,50.7100,,,
2017/07/07,50.6300,,,
2017/07/10,50.8200,,,
2017/07/11,50.7500,,,
2017/07/12,50.6300,,,
2017/07/13,50.5400,,,
2017/07/14,50.5900,,,
2017/07/17,50.6700,,,
2017/07/18,50.7100,,,
2017/07/19,50.8400,,,
2017/07/20,50.8600,,,
2017/07/21,50.7200,,,
2017/07/24,50.6700,,,
2017/07/25,50.5600,,,
2017/07/26,50.6500,,,
2017/07/27,50.5300,,,
2017/07/28,50.5400,,,
2017/07/31,50.5400,,,
2017/08/01,50.4100,,,
2017/08/02,50.3700,,,
2017/08/03,50.2700,,,
2017/08/04,50.2400,,,
2017/08/07,50.4400,,,
2017/08/08,50.5300,,,
2017/08/09,50.6500,,,
2017/08/10,50.7700,,,
2017/08/11,51.0100,,,
2017/08/14,51.2300,,,
2017/08/15,51.4100,,,
2017/08/16,51.3800,,,
2017/08/17,51.2900,,,
2017/08/18,51.4500,,,
2017/08/21,51.4500,,,
2017/08/22,51.2300,,,
2017/08/23,51.2100,,,
2017/08/24,51.0300,,,
2017/08/25,51.1500,,,
2017/08/28,51.1500,,,
2017/08/29,50.9900,,,
2017/08/30,51.1500,,,
2017/08/31,51.1500,,,
2017/09/01,51.1500,,,
2017/09/04,51.1850,,,
2017/09/05,51.1200,,,
2017/09/06,50.8600,,,
2017/09/07,50.8600,,,
2017/09/08,50.8200,,,
2017/09/11,50.8600,,,
2017/09/12,50.9200,,,
2017/09/13,50.9800,,,
2017/09/14,51.1500,,,
2017/09/15,51.2500,,,
2017/09/18,51.1000,,,
2017/09/19,50.9960,,,
2017/09/20,50.9900,,,
2017/09/21,51.0600,,,
2017/09/22,50.6600,,,
2017/09/25,50.6800,,,
2017/09/26,50.9100,,,
2017/09/27,51.0200,,,
2017/09/28,50.9300,,,
2017/09/29,50.8700,,,
2017/09/30,50.8700,,,
2017/10/02,51.0800,,,
2017/10/03,51.1100,,,
2017/10/05,50.9900,,,
2017/10/06,51.4700,,,
2017/10/11,51.4600,,,
2017/10/12,51.4000,,,
2017/10/13,51.4100,,,
2017/10/16,51.2500,,,
2017/10/17,51.3100,,,
2017/10/18,51.4400,,,
2017/10/19,51.4800,,,
2017/10/20,51.4800,,,
2017/10/23,51.5200,,,
2017/10/24,51.6600,,,
2017/10/25,51.8100,,,
2017/10/26,51.8000,,,
2017/10/27,51.7600,,,
2017/10/30,51.6200,,,
2017/10/31,51.6200,,,
2017/11/01,51.5500,,,
2017/11/02,51.4100,,,
2017/11/03,51.1800,,,
2017/11/06,51.2200,,,
2017/11/07,51.4200,,,
2017/11/08,51.3300,,,
2017/11/09,51.2700,,,
2017/11/10,51.2500,,,
2017/11/13,51.1800,,,
2017/11/14,51.2400,,,
2017/11/15,50.9600,,,
2017/11/16,50.7600,,,
2017/11/17,50.9500,,,
2017/11/20,50.7300,,,
2017/11/21,50.7200,,,
2017/11/22,50.6100,,,
2017/11/23,50.6200,,,
2017/11/24,50.6800,,,
2017/11/27,50.3400,,,
2017/11/28,50.3300,,,
2017/11/29,50.2300,,,
2017/11/30,50.2300,,,
2017/12/01,50.2800,,,
2017/12/04,50.6600,,,
2017/12/05,50.6500,,,
2017/12/06,50.7300,,,
2017/12/07,50.6500,,,
2017/12/08,50.5600,,,
2017/12/11,50.3500,,,
2017/12/12,50.4600,,,
2017/12/13,50.4470,,,
2017/12/14,50.4800,,,
2017/12/15,50.4500,,,
2017/12/18,50.4500,,,
2017/12/19,50.3400,,,
2017/12/20,50.2500,,,
2017/12/21,50.2000,,,
2017/12/22,50.1300,,,
2017/12/25,50.1300,,,
2017/12/26,50.0100,,,
2017/12/27,49.9800,,,
2017/12/28,49.9100,,,
2017/12/29,49.9100,,,
2018/01/02,49.9100,,,
2018/01/03,49.7900,,,
2018/01/04,49.8500,,,
2018/01/05,49.8800,,,
2018/01/08,50.1900,,,
2018/01/09,50.3200,,,
2018/01/10,50.3800,,,
2018/01/11,50.3700,,,
2018/01/12,50.3600,,,
2018/01/15,50.3400,,,
2018/01/16,50.4950,,,
2018/01/17,50.7700,,,
2018/01/18,50.7800,,,
2018/01/19,50.7300,,,
2018/01/22,50.8700,,,
2018/01/23,51.1200,,,
2018/01/24,50.8300,,,
2018/01/25,50.9000,,,
2018/01/26,50.9200,,,
2018/01/29,51.0200,,,
2018/01/30,51.4100,,,
2018/01/31,51.3210,,,
2018/02/01,51.5800,,,
2018/02/02,51.6590,,,
2018/02/05,51.4900,,,
2018/02/06,51.4300,,,
2018/02/07,51.1300,,,
2018/02/08,51.5500,,,
2018/02/09,51.5000,,,
2018/02/12,51.9260,,,
2018/02/13,52.0780,,,
2018/02/14,52.0600,,,
2018/02/21,52.0910,,,
2018/02/22,52.1300,,,
2018/02/23,51.8400,,,
2018/02/26,51.9300,,,
2018/02/27,51.9300,,,
2018/03/01,51.9300,,,
2018/03/02,51.9000,,,
2018/03/05,51.9500,,,
2018/03/06,52.0280,,,
2018/03/07,52.0000,,,
2018/03/08,52.1360,,,
2018/03/09,52.0600,,,
2018/03/12,52.0000,,,
2018/03/13,52.0400,,,
2018/03/14,52.0680,,,
2018/03/15,51.9000,,,
2018/03/16,52.0150,,,
2018/03/19,52.0290,,,
2018/03/20,52.0770,,,
2018/03/21,52.1200,,,
2018/03/22,52.3200,,,
2018/03/23,52.3450,,,
2018/03/26,52.2250,,,
2018/03/27,52.4150,,,
2018/03/28,52.3460,,,
2018/03/29,52.2670,,,
2018/03/30,52.1990,,,
2018/03/31,52.1990,,,
2018/04/02,52.0400,,,
2018/04/03,52.0540,,,
2018/04/09,52.0570,,,
2018/04/10,51.9710,,,
2018/04/11,51.9290,,,
2018/04/12,52.0580,,,
2018/04/13,51.9930,,,
2018/04/16,52.0700,,,
2018/04/17,52.1180,,,
2018/04/18,52.1050,,,
2018/04/19,52.0800,,,
2018/04/20,52.1140,,,
2018/04/23,52.3640,,,
2018/04/24,52.2770,,,
2018/04/25,52.3240,,,
2018/04/26,52.1100,,,
2018/04/27,51.9090,,,
2018/04/30,51.9090,,,
2018/05/02,51.8900,,,
2018/05/03,51.6800,,,
2018/05/04,51.7100,,,
2018/05/07,51.9000,,,
2018/05/08,51.8960,,,
2018/05/09,51.9300,,,
2018/05/10,51.9600,,,
2018/05/11,52.3100,,,
2018/05/14,52.3900,,,
2018/05/15,52.4500,,,
2018/05/16,52.3100,,,
2018/05/17,52.2900,,,
2018/05/18,52.3100,,,
2018/05/21,52.4200,,,
2018/05/22,52.2800,,,
2018/05/23,52.4400,,,
2018/05/24,52.5600,,,
2018/05/25,52.5900,,,
2018/05/28,52.4600,,,
2018/05/29,52.6900,,,
2018/05/30,52.6400,,,
2018/05/31,52.6400,,,
2018/06/01,52.5700,,,
2018/06/04,52.5900,,,
2018/06/05,52.4300,,,
2018/06/06,52.4600,,,
2018/06/07,52.5100,,,
2018/06/08,52.8400,,,
2018/06/11,53.0400,,,
2018/06/12,53.0900,,,
2018/06/13,53.2600,,,
2018/06/14,53.3000,,,
2018/06/15,53.3500,,,
2018/06/19,53.4000,,,
2018/06/20,53.4500,,,
2018/06/21,53.4700,,,
2018/06/22,53.2900,,,
2018/06/25,53.4500,,,
2018/06/26,53.6100,,,
2018/06/27,53.5400,,,
2018/06/28,53.5100,,,
2018/06/29,53.5100,,,
2018/07/02,53.3900,,,
2018/07/03,53.4100,,,
2018/07/04,53.4000,,,
2018/07/05,53.4300,,,
2018/07/06,53.3400,,,
2018/07/09,53.4000,,,
2018/07/10,53.5300,,,
2018/07/11,53.6100,,,
2018/07/12,53.5200,,,
2018/07/13,53.5500,,,
2018/07/16,53.4600,,,
2018/07/17,53.3400,,,
2018/07/18,53.4900,,,
2018/07/19,53.5900,,,
2018/07/20,53.4300,,,
2018/07/23,53.4860,,,
2018/07/24,53.3900,,,
2018/07/25,53.2900,,,
2018/07/26,53.4000,,,
2018/07/27,53.3300,,,
